"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg.","Trade.Value..US.."
2010,"November 2010","Exports","France",701,1763700,1007158
2010,"December 2010","Exports","France",701,3498100,1676820
2010,"January 2010","Exports","Bulgaria",701,300,143
2010,"January 2010","Exports","Latvia",701,241005,42309
2010,"January 2010","Exports","Lithuania",701,485113,196965
2010,"February 2010","Exports","Latvia",701,25150,10351
2010,"February 2010","Exports","Lithuania",701,733183,294756
2010,"March 2010","Exports","Bulgaria",701,500,258
2010,"March 2010","Exports","Latvia",701,22500,28740
2010,"March 2010","Exports","Lithuania",701,567935,234678
2010,"April 2010","Exports","Lithuania",701,391677,219638
2010,"May 2010","Exports","Lithuania",701,441307,278825
2010,"June 2010","Exports","Lithuania",701,666024,361203
2010,"July 2010","Exports","Lithuania",701,267394,133100
2010,"August 2010","Exports","Lithuania",701,388391,229662
2010,"September 2010","Exports","Latvia",701,80200,20281
2010,"September 2010","Exports","Lithuania",701,1392509,587443
2010,"September 2010","Imports","Lithuania",701,59390,23462
2010,"October 2010","Exports","Latvia",701,100100,27303
2010,"October 2010","Exports","Lithuania",701,2412551,1012233
2010,"October 2010","Imports","Lithuania",701,20010,8797
2010,"November 2010","Exports","Lithuania",701,3217351,1313218
2010,"November 2010","Exports","Latvia",701,1333455,480119
2010,"November 2010","Imports","Lithuania",701,63000,19426
2010,"December 2010","Exports","Lithuania",701,5592784,2312435
2010,"December 2010","Exports","Latvia",701,420765,108451
2010,"February 2010","Exports","Australia",701,4,3995
2010,"April 2010","Exports","Rwanda",701,1400,281
2010,"April 2010","Exports","Austria",701,120000,53899
2010,"May 2010","Exports","Serbia",701,18650,12571
2010,"June 2010","Exports","Serbia",701,229372,136256
2010,"July 2010","Exports","Serbia",701,56520,27852
2010,"October 2010","Exports","Austria",701,21000,6156
2010,"November 2010","Exports","Ireland",701,4891280,1299948
2010,"December 2010","Exports","Ireland",701,2511800,697247
2010,"January 2010","Exports","China",701,540060,162022
2010,"February 2010","Exports","Poland",701,3600,3476
2010,"February 2010","Exports","China",701,289444,86835
2010,"March 2010","Exports","Poland",701,16400,15985
2010,"March 2010","Exports","China",701,671852,197835
2010,"March 2010","Exports","Pakistan",701,559520,137502
2010,"April 2010","Exports","Pakistan",701,332610,79858
2010,"April 2010","Exports","Canada",701,520000,311957
2010,"April 2010","Exports","Poland",701,4000,3768
2010,"April 2010","Exports","China",701,1077284,346663
2010,"May 2010","Exports","Poland",701,75000,57369
2010,"May 2010","Exports","Canada",701,1276000,740674
2010,"May 2010","Exports","China",701,1386329,385741
2010,"June 2010","Exports","China",701,8980336,2457613
2010,"June 2010","Exports","Poland",701,135300,104102
2010,"July 2010","Exports","Poland",701,103900,47867
2010,"July 2010","Exports","China",701,17586544,4995578
2010,"July 2010","Exports","Pakistan",701,107806,16373
2010,"August 2010","Exports","China",701,3829980,1126402
2010,"September 2010","Exports","Poland",701,199800,50119
2010,"September 2010","Exports","China",701,271704,110712
2010,"October 2010","Exports","China",701,370703,124684
2010,"October 2010","Exports","Poland",701,2103900,565677
2010,"November 2010","Exports","Poland",701,3123600,860054
2010,"November 2010","Exports","China",701,124789,45087
2010,"December 2010","Exports","Croatia",701,62400,21242
2010,"December 2010","Exports","Poland",701,2867400,944435
2010,"December 2010","Exports","China",701,324838,134225
2010,"December 2010","Exports","Canada",701,799000,334654
2010,"January 2010","Exports","Ukraine",701,255,230
2010,"February 2010","Exports","Ukraine",701,724,702
2010,"February 2010","Imports","Ukraine",701,200000,48000
2010,"March 2010","Imports","Ukraine",701,640684,154871
2010,"April 2010","Exports","Egypt",701,12612150,4596925
2010,"April 2010","Exports","Ukraine",701,19360,6239
2010,"April 2010","Imports","Ukraine",701,60097,14487
2010,"May 2010","Exports","Ukraine",701,4417,671
2010,"May 2010","Exports","Egypt",701,21753860,7876101
2010,"May 2010","Exports","Turkey",701,623122,341393
2010,"June 2010","Exports","Ukraine",701,149994,42037
2010,"June 2010","Exports","Egypt",701,8486500,3358871
2010,"July 2010","Exports","Ukraine",701,330,262
2010,"August 2010","Exports","Ukraine",701,422,251
2010,"September 2010","Exports","Turkey",701,980200,207480
2010,"September 2010","Exports","Ukraine",701,415,456
2010,"October 2010","Exports","Turkey",701,174600,37873
2010,"October 2010","Exports","Ukraine",701,1330162,515352
2010,"November 2010","Exports","Ukraine",701,2371945,948194
2010,"November 2010","Exports","Turkey",701,67800,37290
2010,"December 2010","Exports","TFYR of Macedonia",701,140219,62743
2010,"December 2010","Exports","Ukraine",701,2241063,1058794
2010,"December 2010","Exports","Turkey",701,3368400,768670
2010,"January 2010","Exports","Belgium",701,1713626,289621
2010,"January 2010","Imports","Kazakhstan",701,5517470,965212
2010,"February 2010","Imports","Kazakhstan",701,7362560,1344173
2010,"February 2010","Exports","Belgium",701,834563,144555
2010,"March 2010","Exports","Armenia",701,210000,143449
2010,"March 2010","Imports","Kazakhstan",701,10051400,1755207
2010,"March 2010","Exports","Belgium",701,140569,28554
2010,"April 2010","Imports","Kazakhstan",701,6035590,1082194
2010,"April 2010","Exports","Sweden",701,2500,5135
2010,"April 2010","Exports","Belgium",701,223569,33332
2010,"May 2010","Exports","Belgium",701,305843,61210
2010,"May 2010","Imports","Kazakhstan",701,8580110,1626220
2010,"June 2010","Imports","Kazakhstan",701,3077210,560639
2010,"June 2010","Exports","Belgium",701,4253499,743658
2010,"June 2010","Exports","Kazakhstan",701,27000,1286
2010,"July 2010","Exports","Belgium",701,42596,6655
2010,"July 2010","Imports","Kazakhstan",701,66000,10660
2010,"August 2010","Exports","Belgium",701,422,153
2010,"September 2010","Exports","Armenia",701,90,64
2010,"September 2010","Imports","Armenia",701,78122,128073
2010,"September 2010","Exports","Belgium",701,1675455,546304
2010,"October 2010","Exports","Kazakhstan",701,225000,45133
2010,"October 2010","Exports","Belgium",701,6475573,2377978
2010,"November 2010","Exports","Belgium",701,16521083,5884022
2010,"November 2010","Exports","Kazakhstan",701,20000,3252
2010,"December 2010","Imports","Armenia",701,33608,94698
2010,"December 2010","Exports","Kazakhstan",701,40000,6530
2010,"December 2010","Exports","Belgium",701,2954696,1227900
2010,"December 2010","Exports","Armenia",701,21056,6935
2010,"December 2010","Exports","Sweden",701,40000,11566
2010,"January 2010","Exports","Morocco",701,48000,20436
2010,"January 2010","Exports","Finland",701,2719200,611447
2010,"February 2010","Exports","Finland",701,3000100,803898
2010,"March 2010","Exports","Finland",701,3818800,1272050
2010,"April 2010","Exports","Finland",701,3963900,1472541
2010,"April 2010","Exports","Estonia",701,40000,15633
2010,"May 2010","Exports","Finland",701,4562400,1204766
2010,"June 2010","Exports","Finland",701,4126900,717692
2010,"July 2010","Exports","Finland",701,623200,109778
2010,"August 2010","Imports","Finland",701,22000,3687
2010,"August 2010","Exports","Finland",701,360400,71569
2010,"September 2010","Exports","Estonia",701,464100,181139
2010,"September 2010","Exports","Finland",701,3542300,929786
2010,"October 2010","Exports","Finland",701,5193700,1767754
2010,"October 2010","Exports","Estonia",701,527600,210345
2010,"November 2010","Exports","Finland",701,6648900,2580599
2010,"November 2010","Imports","Estonia",701,20500,6472
2010,"November 2010","Exports","Estonia",701,1129100,437270
2010,"December 2010","Exports","Estonia",701,1918200,702867
2010,"December 2010","Exports","Finland",701,5905600,2310779
2011,"April 2011","Exports","Poland",701,1223790,568609
2011,"May 2011","Exports","Poland",701,394935,330843
2011,"June 2011","Exports","Poland",701,1350460,948467
2011,"June 2011","Exports","Romania",701,61300,19884
2011,"July 2011","Exports","Romania",701,560513,174169
2011,"July 2011","Exports","Poland",701,1114395,583060
2011,"July 2011","Imports","Romania",701,21000,4525
2011,"September 2011","Exports","Poland",701,121900,52693
2011,"November 2011","Exports","Poland",701,13760,6216
2011,"December 2011","Exports","Poland",701,31500,9815
2011,"January 2011","Exports","Kyrgyzstan",701,6951432,1337683
2011,"January 2011","Exports","Belarus",701,7763920,2506200
2011,"January 2011","Exports","Lithuania",701,8078381,3934585
2011,"January 2011","Imports","Lithuania",701,40000,11587
2011,"January 2011","Exports","Latvia",701,1551552,562105
2011,"February 2011","Exports","Lithuania",701,3565979,2093958
2011,"February 2011","Exports","Belarus",701,5533844,1982000
2011,"February 2011","Imports","Lithuania",701,39940,17984
2011,"February 2011","Exports","Kyrgyzstan",701,2579284,364954
2011,"February 2011","Exports","Latvia",701,1116325,509757
2011,"March 2011","Exports","Latvia",701,1480890,654165
2011,"March 2011","Imports","Belarus",701,6333,7300
2011,"March 2011","Exports","Kyrgyzstan",701,4713099,803397
2011,"March 2011","Exports","Lithuania",701,3769788,2174224
2011,"March 2011","Imports","Lithuania",701,20000,9649
2011,"March 2011","Exports","Belarus",701,6747642,2877600
2011,"April 2011","Exports","Belarus",701,2621210,1116000
2011,"April 2011","Exports","Latvia",701,445830,188687
2011,"April 2011","Exports","Lithuania",701,2146520,1289802
2011,"May 2011","Exports","Kyrgyzstan",701,14925738,2601868
2011,"May 2011","Exports","Lithuania",701,1202172,770598
2011,"May 2011","Imports","Belarus",701,178038,94800
2011,"May 2011","Exports","Belarus",701,3283907,1301600
2011,"May 2011","Exports","Latvia",701,239485,123400
2011,"June 2011","Imports","Lithuania",701,11604,12479
2011,"June 2011","Exports","Lithuania",701,569691,380852
2011,"June 2011","Exports","Belarus",701,389732,166100
2011,"June 2011","Exports","Latvia",701,40928,18989
2011,"July 2011","Exports","Latvia",701,123150,49338
2011,"July 2011","Exports","Kyrgyzstan",701,15447090,2767314
2011,"July 2011","Exports","Bulgaria",701,19500,6832
2011,"July 2011","Exports","Lithuania",701,877407,526109
2011,"July 2011","Exports","Belarus",701,1846300,731700
2011,"January 2011","Exports","China",701,1082839,298492
2011,"January 2011","Exports","Netherlands",701,114847000,59016465
2011,"January 2011","Exports","Canada",701,41495000,5915100
2011,"January 2011","Exports","Croatia",701,792280,299632
2011,"February 2011","Exports","Netherlands",701,79376790,42779175
2011,"February 2011","Exports","China",701,772789,320416
2011,"February 2011","Exports","Croatia",701,264600,108874
2011,"February 2011","Exports","Canada",701,2994000,1328115
2011,"March 2011","Exports","Croatia",701,60900,29437
2011,"March 2011","Exports","China",701,1735934,750843
2011,"March 2011","Exports","Netherlands",701,82953300,42371795
2011,"March 2011","Exports","Canada",701,2067000,796903
2011,"April 2011","Exports","Canada",701,1190000,414279
2011,"April 2011","Exports","China",701,3159396,1292854
2011,"April 2011","Exports","Netherlands",701,56660500,33961505
2011,"May 2011","Exports","Canada",701,182000,87115
2011,"May 2011","Exports","Netherlands",701,15447630,6799125
2011,"May 2011","Exports","China",701,7019822,2846594
2011,"June 2011","Exports","Netherlands",701,3408305,1468780
2011,"June 2011","Exports","Croatia",701,38875,18017
2011,"June 2011","Exports","China",701,15689311,5536480
2011,"June 2011","Imports","Netherlands",701,12500,9532
2011,"July 2011","Exports","Netherlands",701,2842800,1193858
2011,"July 2011","Exports","Croatia",701,19982,9261
2011,"July 2011","Exports","China",701,18791116,6389589
2011,"August 2011","Exports","Netherlands",701,322818,194144
2011,"August 2011","Exports","China",701,5076023,1906165
2011,"September 2011","Exports","Netherlands",701,498412,140807
2011,"September 2011","Exports","China",701,1411591,603037
2011,"October 2011","Exports","China",701,1778654,789762
2011,"October 2011","Exports","Netherlands",701,919644,205863
2011,"November 2011","Exports","Canada",701,22000,13323
2011,"November 2011","Exports","China",701,1016164,428679
2011,"January 2011","Exports","Pakistan",701,6360127,1134388
2011,"January 2011","Exports","United Kingdom",701,522000,233229
2011,"January 2011","Exports","France",701,4250100,2389169
2011,"January 2011","Exports","Poland",701,3008415,1016043
2011,"February 2011","Exports","France",701,3057400,1755316
2011,"February 2011","Exports","Poland",701,1879025,648538
2011,"February 2011","Exports","United Kingdom",701,7261466,2908570
2011,"February 2011","Exports","Pakistan",701,33072989,6587693
2011,"March 2011","Exports","United Kingdom",701,3079275,1643399
2011,"March 2011","Exports","France",701,3531900,2234660
2011,"March 2011","Exports","Poland",701,1880262,729507
2011,"March 2011","Exports","Pakistan",701,45894302,9683736
2011,"April 2011","Exports","United Kingdom",701,3220242,1670369
2011,"April 2011","Exports","France",701,2707600,1523313
2011,"April 2011","Exports","Pakistan",701,29550904,5972019
2011,"May 2011","Exports","United Kingdom",701,3994650,2178687
2011,"May 2011","Exports","France",701,641900,510061
2011,"May 2011","Exports","Pakistan",701,2427334,715172
2011,"June 2011","Exports","France",701,310300,248639
2011,"June 2011","Exports","United Kingdom",701,949750,460775
2011,"July 2011","Exports","France",701,93800,98450
2011,"July 2011","Exports","United Kingdom",701,51500,26000
2011,"January 2011","Exports","TFYR of Macedonia",701,645710,317623
2011,"January 2011","Exports","Rep. of Moldova",701,8841270,1735708
2011,"January 2011","Re-exports","Rep. of Moldova",701,20490,3278
2011,"January 2011","Exports","United Arab Emirates",701,55380,35688
2011,"January 2011","Re-exports","United Arab Emirates",701,55380,35688
2011,"January 2011","Exports","Estonia",701,3543100,1438004
2011,"January 2011","Exports","Turkey",701,2552650,722373
2011,"January 2011","Exports","Ukraine",701,3882919,1308523
2011,"January 2011","Exports","Finland",701,6857100,3316807
2011,"February 2011","Exports","Rep. of Moldova",701,3738019,743841
2011,"February 2011","Exports","Turkey",701,5670230,1840099
2011,"February 2011","Imports","Finland",701,2000,710
2011,"February 2011","Exports","Estonia",701,963300,422518
2011,"February 2011","Exports","Ukraine",701,2763009,1074635
2011,"February 2011","Exports","Finland",701,6432000,3595747
2011,"February 2011","Exports","TFYR of Macedonia",701,515132,309173
2011,"March 2011","Exports","Turkey",701,1783000,431878
2011,"March 2011","Exports","Ukraine",701,1108994,336258
2011,"March 2011","Exports","Finland",701,6148900,3575835
2011,"March 2011","Exports","TFYR of Macedonia",701,59523,45046
2011,"March 2011","Exports","Rep. of Moldova",701,7450251,1640623
2011,"March 2011","Exports","Estonia",701,1174400,516087
2011,"April 2011","Exports","Finland",701,5290400,3112251
2011,"April 2011","Exports","Ukraine",701,60804,16262
2011,"April 2011","Exports","Rep. of Moldova",701,2919375,623227
2011,"April 2011","Exports","Turkey",701,1073800,338230
2011,"April 2011","Exports","Estonia",701,423800,181536
2011,"May 2011","Imports","Ukraine",701,60630,14551
2011,"May 2011","Exports","TFYR of Macedonia",701,5759,2446
2011,"May 2011","Exports","Finland",701,2962500,1290030
2011,"May 2011","Exports","Ukraine",701,9245,3671
2011,"May 2011","Exports","Rep. of Moldova",701,207670,46950
2011,"January 2011","Exports","Belgium",701,8001825,3939740
2011,"January 2011","Exports","Ireland",701,7852390,2296891
2011,"January 2011","Exports","Serbia",701,222685,134086
2011,"February 2011","Exports","Serbia",701,320100,220192
2011,"February 2011","Exports","Armenia",701,205000,141000
2011,"February 2011","Exports","Belgium",701,8376500,4235656
2011,"February 2011","Exports","Ireland",701,2845930,822246
2011,"March 2011","Exports","Ireland",701,6105560,2205321
2011,"March 2011","Exports","Belgium",701,4915004,2226524
2011,"April 2011","Exports","Belgium",701,1145389,471686
2011,"April 2011","Exports","Ireland",701,260000,157707
2011,"April 2011","Exports","Armenia",701,123000,85120
2011,"May 2011","Exports","Ireland",701,104000,109674
2011,"May 2011","Exports","Belgium",701,3169106,1295325
2011,"June 2011","Exports","Serbia",701,1655824,889870
2011,"June 2011","Exports","Belgium",701,21000,6417
2011,"July 2011","Exports","Bosnia Herzegovina",701,38486,16033
2011,"July 2011","Exports","Belgium",701,144000,44563
2011,"July 2011","Exports","Serbia",701,2138576,863268
2011,"July 2011","Exports","Armenia",701,20000,6461
2011,"August 2011","Exports","Belgium",701,68400,32022
2011,"September 2011","Exports","Belgium",701,173914,41174
2011,"October 2011","Exports","Belgium",701,25055,6010
2011,"November 2011","Exports","Belgium",701,116000,18775
2011,"January 2011","Exports","EU-28",701,172586353,85489332
2011,"January 2011","Imports","EU-28",701,40000,11618
2011,"January 2011","Exports","India",701,518500,320555
2011,"February 2011","Imports","EU-28",701,41941,18680
2011,"February 2011","Exports","EU-28",701,130302706,68507428
2011,"February 2011","Exports","India",701,6457200,2565810
2011,"March 2011","Imports","EU-28",701,20000,9666
2011,"March 2011","Exports","EU-28",701,138448205,72431718
2011,"March 2011","Exports","India",701,8499032,3455077
2011,"April 2011","Exports","India",701,3909000,1173680
2011,"April 2011","Exports","EU-28",701,89788275,53575926
2011,"May 2011","Exports","India",701,2181597,669468
2011,"May 2011","Exports","EU-28",701,33908155,16834693
2011,"June 2011","Exports","EU-28",701,10916765,5623629
2011,"June 2011","Imports","EU-28",701,28104,25557
2011,"June 2011","Exports","India",701,813000,380881
2011,"July 2011","Exports","India",701,28000,6763
2011,"July 2011","Exports","EU-28",701,9439053,4616215
2011,"July 2011","Imports","EU-28",701,21000,4500
2011,"July 2011","Exports","Greece",701,60800,17916
2011,"August 2011","Exports","EU-28",701,784872,547842
2011,"September 2011","Exports","EU-28",701,2197146,1043827
2011,"October 2011","Exports","EU-28",701,2519415,1004850
2011,"November 2011","Exports","EU-28",701,6928655,3218322
2011,"December 2011","Exports","EU-28",701,8611235,2690041
2011,"January 2011","Exports","Denmark",701,4411000,2108408
2011,"February 2011","Exports","Denmark",701,1350800,782948
2011,"February 2011","Imports","Kazakhstan",701,4419,11661
2011,"February 2011","Exports","Sweden",701,66600,27980
2011,"March 2011","Exports","Denmark",701,1286200,537590
2011,"March 2011","Imports","Kazakhstan",701,60075,33868
2011,"April 2011","Exports","Denmark",701,1661500,702647
2011,"April 2011","Exports","Kazakhstan",701,650000,343616
2011,"April 2011","Exports","Czech Rep.",701,80000,63473
2011,"April 2011","Exports","Sweden",701,36000,17143
2011,"April 2011","Imports","Kazakhstan",701,119925,70403
2011,"May 2011","Exports","Sweden",701,36000,15998
2011,"May 2011","Exports","Kazakhstan",701,230000,71119
2011,"May 2011","Imports","Kazakhstan",701,20000,27671
2011,"May 2011","Exports","Denmark",701,120000,67807
2011,"June 2011","Exports","Cyprus",701,22500,8748
2011,"June 2011","Imports","Kazakhstan",701,2985,2199
2011,"July 2011","Exports","Cyprus",701,22500,11925
2011,"July 2011","Imports","Kazakhstan",701,800,500
2011,"July 2011","Exports","Kazakhstan",701,2400,800
2011,"August 2011","Exports","Kazakhstan",701,50000,48300
2011,"August 2011","Imports","Kazakhstan",701,5500,3800
2011,"September 2011","Imports","Kazakhstan",701,203000,26300
2011,"October 2011","Imports","Kazakhstan",701,244700,44100
2011,"November 2011","Imports","Kazakhstan",701,147000,27300
2011,"January 2011","Exports","Germany",701,5430285,3081539
2011,"February 2011","Exports","Germany",701,8520505,5101714
2011,"March 2011","Exports","Germany",701,12902245,9039420
2011,"April 2011","Exports","Germany",701,10551117,7735099
2011,"May 2011","Exports","Algeria",701,55000,8274
2011,"May 2011","Exports","Spain",701,59800,52756
2011,"May 2011","Exports","Germany",701,1598973,1101332
2011,"June 2011","Exports","Germany",701,245980,170719
2011,"June 2011","Exports","Spain",701,40700,31625
2011,"July 2011","Exports","Spain",701,46100,14464
2011,"July 2011","Exports","Germany",701,2342200,1385961
2011,"August 2011","Exports","Germany",701,6000,2295
2011,"September 2011","Exports","Germany",701,63660,16791
2011,"November 2011","Exports","Germany",701,26050,4338
2011,"December 2011","Exports","Belgium",701,244917,45810
2011,"August 2011","Exports","United Kingdom",701,40000,22397
2011,"September 2011","Exports","France",701,180500,85704
2011,"September 2011","Exports","United Kingdom",701,74000,25655
2011,"October 2011","Exports","France",701,250500,123998
2011,"November 2011","Exports","France",701,362600,175848
2011,"November 2011","Imports","Georgia",701,100466,18379
2011,"December 2011","Imports","Georgia",701,40000,7168
2011,"December 2011","Exports","France",701,1799000,449035
2011,"November 2011","Exports","Netherlands",701,4566510,2235616
2011,"December 2011","Exports","Netherlands",701,3524300,1155772
2011,"December 2011","Exports","China",701,1249092,516113
2011,"August 2011","Exports","Belarus",701,1241650,308700
2011,"August 2011","Exports","Lithuania",701,347579,296767
2011,"August 2011","Exports","Kyrgyzstan",701,15576890,2786442
2011,"September 2011","Exports","Lithuania",701,787394,610867
2011,"September 2011","Exports","Belarus",701,3873038,668200
2011,"October 2011","Exports","Belarus",701,5518164,797800
2011,"October 2011","Exports","Lithuania",701,898119,528298
2011,"November 2011","Exports","Belarus",701,2776632,1515100
2011,"November 2011","Exports","Lithuania",701,870667,561816
2011,"December 2011","Imports","Belarus",701,20620,1500
2011,"December 2011","Exports","Lithuania",701,1115307,584816
2011,"December 2011","Exports","Belarus",701,2433591,307500
2011,"December 2011","Exports","Latvia",701,6950,5792
2011,"May 2011","Exports","Estonia",701,199800,67334
2011,"June 2011","Exports","Rep. of Moldova",701,326200,69628
2011,"June 2011","Exports","TFYR of Macedonia",701,767720,207937
2011,"June 2011","Exports","Finland",701,2273300,894790
2011,"June 2011","Exports","Estonia",701,42000,18690
2011,"June 2011","Exports","Turkey",701,1059050,506395
2011,"June 2011","Exports","Ukraine",701,9145,1227
2011,"July 2011","Imports","Malaysia",701,200000,41381
2011,"July 2011","Exports","Finland",701,954000,418349
2011,"July 2011","Exports","Estonia",701,166400,68453
2011,"July 2011","Exports","TFYR of Macedonia",701,241000,59187
2011,"July 2011","Exports","Rep. of Moldova",701,1246190,303347
2011,"July 2011","Exports","Ukraine",701,227023,89217
2011,"July 2011","Re-exports","Rep. of Moldova",701,331575,97550
2011,"August 2011","Exports","Turkey",701,24300,12010
2011,"August 2011","Exports","Ukraine",701,155,119
2011,"August 2011","Exports","TFYR of Macedonia",701,21000,2604
2011,"September 2011","Exports","Finland",701,173400,49503
2011,"October 2011","Exports","Finland",701,380500,128192
2011,"October 2011","Exports","Ukraine",701,21200,6547
2011,"November 2011","Exports","Ukraine",701,360,249
2011,"November 2011","Exports","Finland",701,780600,185893
2011,"December 2011","Exports","Finland",701,1886800,438768
2011,"December 2011","Exports","Ukraine",701,15265,4944
2012,"February 2012","Exports","India",701,168000,55509
2012,"March 2012","Exports","India",701,56000,20011
2012,"April 2012","Exports","Slovakia",701,20000,15794
2012,"April 2012","Exports","Denmark",701,5000,2527
2012,"January 2012","Exports","India",701,84000,25622
2012,"February 2012","Exports","Denmark",701,20000,11531
2012,"April 2012","Exports","Czech Rep.",701,120000,74181
2012,"April 2012","Exports","Hungary",701,19600,11872
2012,"April 2012","Exports","Serbia",701,261022,101163
2012,"May 2012","Exports","Serbia",701,39126,7973
2012,"February 2012","Exports","Belarus",701,2801867,463200
2012,"January 2012","Exports","Belarus",701,1453677,173300
2012,"June 2012","Exports","Serbia",701,741426,306123
2012,"December 2012","Exports","Germany",701,124920,34752
2012,"April 2012","Exports","Germany",701,9345790,5652871
2012,"June 2012","Exports","Germany",701,5609520,3274607
2012,"March 2012","Exports","Germany",701,2465360,1534992
2012,"May 2012","Exports","Germany",701,5453380,3224393
2012,"July 2012","Exports","Germany",701,3766140,2152658
2012,"February 2012","Exports","Germany",701,300000,307987
2012,"February 2012","Exports","France",701,1550400,606942
2012,"January 2012","Imports","Georgia",701,61200,18648
2012,"October 2012","Exports","France",701,188800,155584
2012,"January 2012","Exports","Pakistan",701,86994,20809
2012,"March 2012","Exports","Pakistan",701,10075332,2272822
2012,"June 2012","Exports","France",701,449200,167022
2012,"February 2012","Exports","Pakistan",701,2657493,755247
2012,"April 2012","Exports","Pakistan",701,6906748,1980209
2012,"January 2012","Exports","France",701,998900,391163
2012,"November 2012","Exports","France",701,618700,516879
2012,"March 2012","Exports","France",701,2262900,641793
2012,"May 2012","Exports","Pakistan",701,142120,42347
2012,"September 2012","Exports","France",701,161200,124814
2012,"April 2012","Exports","France",701,1787000,772662
2012,"December 2012","Exports","France",701,691300,572593
2012,"July 2012","Exports","France",701,411700,113320
2012,"May 2012","Exports","France",701,503100,266241
2012,"May 2012","Exports","Spain",701,36300,13835
2012,"June 2012","Exports","Spain",701,20700,13224
2012,"February 2012","Exports","Poland",701,252120,44072
2012,"June 2012","Exports","Belgium",701,632500,93006
2012,"June 2012","Exports","Poland",701,815429,358278
2012,"September 2012","Exports","Poland",701,63840,22374
2012,"November 2012","Exports","Kazakhstan",701,46000,8370
2012,"August 2012","Exports","Poland",701,67860,26349
2012,"October 2012","Imports","Kazakhstan",701,439600,204530
2012,"August 2012","Exports","Belgium",701,20000,5394
2012,"October 2012","Exports","Kazakhstan",701,40000,9900
2012,"November 2012","Exports","Belgium",701,244,141
2012,"June 2012","Imports","Kazakhstan",701,293000,123080
2012,"October 2012","Exports","Poland",701,2,316
2012,"January 2012","Imports","Kazakhstan",701,41100,8720
2012,"December 2012","Imports","Kazakhstan",701,156600,29010
2012,"February 2012","Imports","Kazakhstan",701,25500,6840
2012,"December 2012","Exports","Poland",701,41213,28008
2012,"July 2012","Imports","Kazakhstan",701,97800,37270
